Year,Infectious Diseases,Number of Cases,Incidence Rate
2017,Cholera,2,0
2017,Dysentry,119,0.4
2017,Food poisoning,13686,42.3
2017,Typhoid,190,0.6
2017,Viral Hepatitis A,153,0.5
2018,Cholera,165,0.5
2018,Dysentry,164,0.5
2018,Food poisoning,15023,45.7
2018,Typhoid,173,0.5
2018,Viral Hepatitis A,100,0.3
2019,Cholera,81,0.3
2019,Dysentry,219,0.7
2019,Food poisoning,16583,50.9
2019,Typhoid,180,0.6
2019,Viral Hepatitis A,94,0.3
2020,Cholera,115,0.4
2020,Dysentry,157,0.5
2020,Food poisoning,9425,28.9
2020,Typhoid,64,0.2
2020,Viral Hepatitis A,47,0.1
2021,Cholera,64,0.2
2021,Dysentry,198,0.6
2021,Food poisoning,6007,18.4
2021,Typhoid,102,0.3
2021,Viral Hepatitis A,24,0.1
