state,type,date,staff
Johor,all,01/01/2022,14634
Kedah,all,01/01/2022,10372
Kelantan,all,01/01/2022,12097
Melaka,all,01/01/2022,5624
Negeri Sembilan,all,01/01/2022,7248
Pahang,all,01/01/2022,9586
Perak,all,01/01/2022,13561
Perlis,all,01/01/2022,2116
Pulau Pinang,all,01/01/2022,8192
Sabah,all,01/01/2022,16345
Sarawak,all,01/01/2022,13374
Selangor,all,01/01/2022,24009
Terengganu,all,01/01/2022,7438
W.P. Kuala Lumpur,all,01/01/2022,18941
W.P. Labuan,all,01/01/2022,601
W.P. Putrajaya,all,01/01/2022,3552
